user,bot
سلام,👍👍👍😔
🦋🌹,به منچه
روز خوش✋,به کی چه پس😕
🚬🚶‍♀,خوش
🚶‍♂,بری که ردت بی رد ره 😕🤚
🚶‍♂,اره توخبی
🚶🏻‍♀,ن میگم فعالیتت کمه \nفعال باشی ویژه مبشی
سلام,فاطی اینجا فاطی اونجا فاطی همه جا😕
🚶‍♀🐉,سلاااام کردما
سلام,من
‌‌‌\nنمیدانم گناه توست یا عیب چشم های من؟..\nاینکه بعد از تو\nتمام عالم از چشمم افتادند❤️\n‌‌‌,بخوبیت
سلام,ع
🚶‍♂,توهم بدو
🚶‍♂,مخصوصا تو😂
سلام جیگرا,باشع😐🕷🚶🏿‍♂
🚶‍♀🐉,س خوبی
🚶‍♀🚶‍♀,خوبی خدت ؟
صلام \nزشت گروه وارد میشه🙊🙊🙊,خوبی شما )؟
سلام کردیم,مرسی خوبم
‏ما که بهشت برو‌ نیستیم اقلا بیاین گناهامونو با هم هماهنگ کنیم که تو جهنم بیفتیم تو یه محل,خواهش میکنم😂😂
‏بیرون بودم زنگ زدم به بابام گفتم:\n\nچیزی لازم ندارید بخرم؟\nتا یک سال هروقت میرفتم بیرون میگفت:\nنخریمون سرمایه دار 😕🤦🏼‍♂\n\n\n😂😂,بوس کن
پیرزال پی 😐🤦🏻‍♂️,بیخود کردی شوخی میکنی
🚶🏻‍♂️\n🧗🏻‍♀️,افرین
اصن چرا منو ب دنیا اوردین؟؟؟ \n    تیر خلاص من ب والدینم \n    وقتی در مقابل خواسته های غیر معقول و خرکیم  \n    مقاومت میکنن!!!,امروز سر میز نشستی یا ته میز شاخ مجازی؟ \nبیوشو بیین😅😅😅😅
خدا نکنه کسی تو گروه مثل من غریب باشه \n\n\n\n\n\nپُست هاشو كه نمى خونن ، هيچ!\nاصلاًً نيگاهش هم نمى كنن !!!!!\n\nالسلام علیک یا غریب الگروه!!!!😛🙈😂😂\n\n 😂,سلطنتی بزن برام😂
پنجتن یه نفر 😑,اصل پلیز
پسر هستم یکی بیاد,کص نگو مو فشنگی 😏😏😏
ولش بابا دعوا نکنین هرکی خیلی احساس جاهلی مکنه بیه گاز چار نبش خاکزادی یک میوه فروشی مو😡😡😡😡,خاستی بگی میوه فروشی دارم 😂😂😂😂 \nهندونه کیلو چند
دعوا نکنین,😂😂😂😂
🚶🏿‍♂🍃⚡️,با دوستان بود \nتو هم شامل میشی؟
دعواس گویا😐,اووو بابا جاهل کی بودی ت😂
سلام,ی سوال اینجا پیش می اید اینکه شما لوازم منزل دارین کو میوه فروشی تون😐؟
🗂ممبر واقعی گروه فقط فقط 7 تومام ممبر دختر برای گروه فقط فقط 20 تومان جهت خرید بیو گرافی رو چک کنید... 📝,شما ادرسی که دادم تشریف بیارین در خدمتتون هستیم لوازم خانگی هم کنارمه😄😄
سلام,عه😐
سلام😜❤️,نه بابا با ادمایی ک همش دوسدارن دعوا راه بندازن حرفی ندارم راحت باشین شما
🚶🏻,🧹ازینا؟؟؟
یکی بیاد ک میگم دوست دارم نگی میدونی چیه....😐,شعر سرودی با اسم من؟خجالت نمکشی
🏃‍♀🚶‍♀🚶‍♀🚶‍♀,😂 😂 😂
برآری,ن چرا خجالت بکشم تازه شعرش بی ادبیه من با ادبش برات گفتم😂🚶‍♂
سلام,آره دیگه که خاک اندازشم دسته داره
سلام,سلام
‏یه زمانی داشتن خودکار اکلیلی تو مدرسه حکم ایفون ۱۱ الانو داشت,نه عزیزم بزن لهش کن اصا
سلام ب همه تو,اصل😂
سلام,دقیقاااااا من نداشتم بعد مال دوستمو زدم شکستم😐 مدیونی اگ فک کنی حسودم😐
ی هم صحبت لازم دارم,خب چرا اون داشت من نداشتم😐
میگی چشات اینطوری نکن😳😳😳,توام جق بزن😂
ی خانم بیاد من بای,نه دور از جون جقی😂
سلام حوصلم سر رفته یکی بیاد حرف بزنیم,من یه ماه پول تو جیبیمو جمع کردم ۲۴ درنگشو خردیم🤦‍♀
سلام حوصلم سر رفته یکی بیاد حرف بزنیم,😐😐گیجم نکن توانمو برای مخ زنی نگیر😑
سلام,عه🧐
🤚,اره تو خوبی
چاکر برو بچ,ممنون اصل بده گلو
سلام,💨زاااااارت
{ هَف تاً کُوتولعِ اُفتادَن دُنبآلِش فاّز سِفید بَرفی بَرداشتِهـ ]\n「°,فقط لب
سلام,قوربانت
🚬🚶🏻‍♂️,رل داری؟
خانمای عزیز بشتابید بشتابید . آخرین شانس خود را امتحان کنید \n\nخوشتیپ گروه رو از دست ندید \n\n🤣🤣🤣🤣🤣🤣,خودت چی چرا نمپوشی بیا بپدش بات رل بزنم😂
هرچقد آدما بهت بد کردن\nتو خوب باش،تو خوب بمون :)\nچون که سگ گازت بگیره تو نباید سگو گاز بگیری,چرا میخندی حالا😂
سلام 👋 به همگی,چه خبر
Helloo,جون جذاب😂😂😂😂نخوری زمین
چطورین,چی
🚬🚬🚶🏻‍♂️,خوبی
hhhhhhhhof,ایجان🤤💋
سنجاق و کی برداشت,بیا ببین چیکارت میکنم
هر کی رل من نشه دیوثه😂,به امدی \nالان میام
🚬🚶🏻‍♂️,😂😂
🚬🚶🏻‍♂️,😒😒
یکیم نی دورش بگردیم مث پروانه😐,👏🏾👏🏾👏🏾👏🏾👏🏾👏🏾👏🏾👏🏾👏🏾
ها,یه حسودی ورشداشت🥺
برار دوقلو,بیا نون بخورعزیزم
سلام عزیزان,یک سوجه پیدا کن
‏در وصف وضعیت عکاسیم همینقدر میتونم بگم که من اسکرین‌شاتم بد میگیرم.\n😂😂👌😂👌😂,از کجایی
سلام,هوم نداشتیما
سلام,با کیر بابازرگم
چ حوصله داشت ب ریپ گف ریپلی😂😐,چشم
خوبین,میخارید
🚶😪,ها
عزیزم,❤️
‏دلتنگی اینجوریه که به خودت میای میبینی قلبت مچاله شده و پریشون و گیج از حال و احوالت کز کردی یه گوشه منتظری خوب شی اما تهش هم میدونی فقط میگذرونی تا دلتنگی بعدی.,قربونت
وویسو باز کن حس تایپم نیس,ویرایش میزنم بر میداره
سلام,Pin
برم نون‌بخورم,❤️❤️نفس
باز کن دگ,سلام
چت خوش دوستان,او که عشقه الان‌
‌\nجاى اینکه به چاله چوله هاى بدنتون افتخار\n\n کنین، به فکر پر کردن چاله هاى ذهنتون باشین اینجورى زیبا‌تره\n‌‌‌,با این متنهایی که من مینویسم تا الان باید خیلیهاشون عاشقم میشدن\n🤣🤣🤣🤣🤣
من برم کار دارم,چال فقط چال کمر
🚶‍♀🚶‍♀🚶‍♀,ممنون توخوبی
چ ادمای اینجه عوض شدن\nجز سلمان سجاد😐,بای بای تو رفتی دیگه بر نمیگردی😢😢
سلام,گلپریتون منم
دوست پسر شارژی پی😶,خوبی
ناهید عرجونی :\n\nدنيا جاى خوبى براى شاعر شدن نيست\nاين بار كه برگردم؛ درخت خواهم شد,دیوث😂
سلام سلام,بکنمت بری فضا
🚶‍♂🚶‍♂,ممنون تو خوبی
🚬🚶🏻‍♂️,اره سحر20 مشهد
🍏🍎                   \n🗑                          \n⚱                 👱‍♂💨       \n⚱          🎷  👔       \n⚱     ‌🎷       👖      \n⚱🎷           👟👟  \n🛎,بادمی یاد
حصلم🚶‍♀,خودتی سگ اخلاق بی تربیت😒
سلام,خودت اصل بده
مهم نیس بعداً چی میشه \nمهم اینه که دیگه مِث قبل نمیشه :),قاسم اباد
موچقدر دلم مخه اسم عشقم سحر بشه😜😜😜😜,اره
🚬🚶🏻‍♂️,ممنون
سلام,مسکونی بودشدتفریحی😬😬
✋,سنجاق کن
سلام,اره
خوبین,بشو
🚶🏿‍♀,😉
یه جور عکس دو نفره با دوستش رو میذاره مینویسه رفیق روز های سخت، یکی ندونه فک میکنه دوتایی خرمشهر رو آزاد کردن دیگه یه شکست عشقی که بعدش رفیقت اومده بهت سیگار تعارف کرده که این حرفا رو نداره,کجا نمیام
تو گناه ساده ای هستی و من معصومانه مرتکب به تو!,چی؟
عطیه عطیه\nشورت عمت\nطوسیه😐,بله
خانوم پایه بیرون🚶🏻‍♂️,🤣
حرم دو نفر,هه
شیطون مگه ی عروق بزن جو گپ عوض بشه😂😂😂😂,چیه
🍷🍷🍷,سنگینم 🖐
🚘🚘🚘,هوم
سلام,😕😕😕
نون و پنیر و گردو,سلام
ی قصه ناتموم,هنوز برا خوابیدن زوه
یک دخی ک میاد پی,ی لحظه من ریپم
آموزش کاردر منزل بااینترنت آموزش به صورت رایگان بدون هیچ گونه سرمایه وبدون صرف زمان برای تمام رده های سنی برای اطلاعات بیشترپی وی درخدمتم یک سرمایه عالی بین یک تاشیش ماه,😂😂عیب نداره
بامعرفت نیست,نخودی پخش میکنم
🚬🚶🏻‍♂️,😂😂😂
🚬🚶🏻‍♂️,مثل دختر خودمه😂
مردان مرد باشید,😂😂
دخترها دختر باشید,👍👍
خب منکه وقتم پر شد,سخنی ازمادر عروس😐
عصر همگی بخیر,دلت میاد؟
دخترها سالم باشن مردها سالمن,اله😋😋
مردها سالم باشن دخترها سالمن,چطوری خوبی؟
تفکرا خرابن,پس شروع کن علی علی😂
مرد سالم ضرب در دختر سالم =  جامعه سالم,ممنون عزیزم توخوبی
زندگی دخترها را بشتاسیم و بر اساس ان زن بگیریم,ها دیگه یکی از مخاطبامو زده
🚬🚶🏻‍♂️,والابخدا
هست🥺❤️,قربونت مرسیی😘
در کل انسان باشید😐,چی شده😂
اگه ب زنت محبت نکنی میره پیش روانشناس پول میده روانشناس ب ریشش میخنده,😐😐
🚶‍♂🚶‍♂,چاکر خاله سارینا
7 روز در زندگی دخترها را بیشتر بشناسیم تا بتوانیم زندگی خوبی بکنیم,نه حرفاش شبیهش هست
سلام,۳۱
دخی شر پی,خا
اگه پول کافی برای ازدواج نداری نرو بگیر میره پیش روانشناس زنت 130 هزار تومن پول بی زبون میده ب شارلاتان,به تورفتیم
🚬🚶🏻‍♂️,کجای مشهدی
😐‌,نه کدوم خری گفت مشهدیه این
مردها دردشون نمیگن میریزن تو بعدش میرن پیش روانشناس خانم,او راس میگی 😐
باران,عزیزی
🚬🚶🏻‍♂️,هافرین
دخترا پلاک خونتونیم بگین خیالشون راحت بشه 😂,کی بود اسمشو بگو من الکی الاف کرد
مرگ درد بگو جون,تربتی
درسته مشکلات هست ولی نگو ازدواج بده برو زن بگیر ولی خواهشا پیش روانشناس نرو,بله درسته✨
سلام,والا 😂
همتونو میخاو,تو فقط تو
به همتون نظر دارم😁,جامعه
هه مشتی \nاصالت یعنی میتونی خیلی کارها رو بکنی ولی وجدانت اجازه نده :),راحترن😂😂
هیییی خدا,بلی بلی
😐😐🙄,دلت میاد؟🥺
ساسی مانکن گوش ندهیم,من
ولی واقعا به همتون نظر دارم😋😁,😂😂😂
دختر باس چادری باشه,👍ارع قشنگ مث خودت
😂😂,مادرشوهر
یه هفتاد هشتاد نفر بیان پی وی,😜😜
منو دزدیدن😂😂,😊😊😊😊😊
خب,130 هزار تومن
😁,لوس خنک😐😹
خانوووم وزیررری,تو خودت زن متاهلی ک
مرد باید دختر شناس باشه\nمحبت کنه و اینا وگرنه سرش تو گوشیه\nمیره پیش روانشناس😐,عم روبیک عم دسم بند بود
‏نون صداقت رو نميشه خورد، اما تا دلت‌ بخواد زخمشو ميخوری!,خودت گلی
جون بیشتر همه همتون نظر دارم😐😐,دیگه دیگه
سلام,😊👍
‌‌‌\nبعضی وقتا لازمه گیاه باشی و فتوسنتز کنی ولی محتاج بعضیا نباشی !\n‌‌‌,کردمت نگی مامان جووون
•°•اِنَّ اللّٰهَ فِی قُلُوبِ المُنکَسّرَه•°•\n    🍃|خُـداوَنـد در دِل های شِکسته جای دارد,شد بادمجون 😂
هیچگاه ذوق نكنيد كه قلب یک مرد را شکسته‌اید ... \n\n\nقلب مردها در بد‌ترین حالت فقط کمی رگ به رگ شده و نهایتا ۲۴ ساعت بعد دوباره مثل ساعت کار می‌کند.😂😂,حتما وسطش ی لنگش این ور شکستس یکی دیگشش اونور
رو خانوممون نظر نداشته باشین🤗👊,چ پرویی
هیچگاه ذوق نكنيد كه قلب یک مرد را شکسته‌اید ... \n\n\nقلب مردها در بد‌ترین حالت فقط کمی رگ به رگ شده و نهایتا ۲۴ ساعت بعد دوباره مثل ساعت کار می‌کند.😂😂,همینی ک هس
صلم,😂😂😂
رل که نتش 4Gپی😂,خخ
🚶‍♂🚶‍♂🚶‍♂🚶‍♂🚶‍♂🚶‍♂,همرو میخام دیگه
پاشین برین بخوابین,از تو وا از مو جاااا
خوش گذشت بای بای👋👋,😂😂😂
شب میام پی وی همتون، فعلا برم😂😂,منو میشناسی؟
🚶‍♀,من الان از خواب بلند شدم
لطفا اد نزنین🤦‍♂,😁
🚶‍♂😐🦅🔪,حال نمیده
سلام,😁
هرجا میری۳۰نفر پ و بهت لینک گروه میدن\nچقدر میدین,بی ادب
🚶🏿‍♂🚶🏿‍♂🚶🏿‍♂🚶🏿‍♂🕷,نگهبانی بدم
🚶🚶🚶,نه اصن هیچکار انجام نده
سلام,ها اینجا فک کردم اد زدنت جایی که اد میزنن لینک گپشونو بده به ادمینا یا ایدیشونو
گی کسی نیس بیاد,باشه😂
اونی که خیلی متن میده  با اونا رل شید اونا وقت  خیانت کردن ندارن😂\n\nمنو میگها😂,😂شوخی
سلام,جواب دادنت تو حلق دشمنات
عا یکیش تو و ابجیتو ننت ک اع اب کمر خودمی ب بابات نگو بی صاحب,دقیقل
بیشتر شبیه یه مرد فضوله تا یه مرد معمولی,جوووون😍👏
😐😐😐,اون تو رو نمیخوره تولیدتت میکنح
من دودقیقه نبودما,تو یه مرد معمولی هستی کیرمم نیستی😂😂😂😂
چیشده,😂😂
اومد همه رو به جون هم انداخت,دیگه داری گوه اضاف میخوری کون بی جواز کسب
بحث کن,👍👍👍👍👍👍👍👍👍
ادمین مرده,😂😂😂😂
ننشو یکی دیگه کرده از ما طلبکاره خارکسه بی ناموس,خب هم ننه تو دوهزار تومنم نمی ارزه
بیاین نفری 5 تومن بهش بدیم بره,نه
سلام,اصل نمیدی شما
☹️☹️☹️,طبرسی
بیدارشدم,دیوث به پای من داره میندازه
اقاااا دیشب ننتو کردیم پول ندادیم الان اومدی بگیررری\n\nامشبم میکنیم امشب بیا شاید دادیم,کم کیر نرفت تو اصالتت برو عموجان😂
سلام,نورا سارا پری
🚶‍♂,میدونم نیس
خار داره سلام ما,😂😂😂😂😂
چقدر بی تربیتین,😂😂😂🤦‍♀
🚬🚶🏻‍♂️,سلام
😕😕😕,ban
کصخولا,دقیقا اک بود ته  سرش سوراخ داشت
🚬🚶🏻‍♂️,اعع😳
وحید 46 سال\nخانم ها کسی پایه دوستی هستش 🙏,😂👍
🚬🚶🏻‍♂️,😂😂😂😂
ولی انصافا تنها سرمایه روی زمین که مونده ازدواجه دست کم نگیرین ...دخترا را دوست بداریم و بشناسیم و همین,نشد دیگه قرار نبودا
چرخیه را هم بپائیم....,👍😁
فحش ناموسی ندین😐,ممنون 😊🌹🦋
🚶‍♀️🚶‍♀️,😂😂😂جمع کنین صاحبش آمد
😂😂,اوشون واس ماس
اقا جمع کنین صاحبش اومد ام یجیب  مستعر اذا دعا و یکشف السوف همه با هم😂😂😂,هرچی ادامه ندین
گپ خودمونه ؟,واقعا میگم همه چیمونا دزدیدن و ناخنک زدن فقط عشق مونده دخترا سرشار از عشقن و مردا هم سرشار از عشقن و اینا ولی همش تقصیر روحانیه😐
🚶‍♂,باسن
فعلا🚶‍♂,خاک
هووووف,گمشو
فوش ناسوسی بدین\n🚶🚶🚶🖤,یه لیوان ابم واسه من بیار
😂,چش
🚶‍♂,👍
عع زشته,چیه
برچی,اون شروع کرده
حوصلم سررفته,ولش کن
حال شخمی🚶🏻‍♂️,برو کص تو جمع کن
فوش عمه بدن فوش ننه ندن,کجا
خواهر تو بگم؟,سلام خوبی🙄
😒😒,درود خوش آمدیداصل میفرماید
خواهر کیو,اخطار
بایز,پس چرا  اکثر شما ها شبیه منین 😂😂😂😂
خا,نه نگو
طراحی سیاه قلم چهره و .... 🏞   انجام تایپ ⌨️انجام پاورپوینت ⌨️,مث تو باشم باید خود کشی کنم
بسی خندیدیم,اونورو ببین
سسسسسسسلام عصر همگی بخیر,عع
ادب خرجی ندارد ولی همه چیز را میخرد,من ک از دیر وقت کردمت😞😂
کی ب کیه,خوبین
سلام,خبی
چقد بعصیا مفت ادم میفروشن هه,سلامتی
🚶‍♀🚶‍♀🚶‍♀🚶‍♀,جواب ابلهان خاموشی ست
🚶‍♀️🚶‍♀️,چلااااا
🚶‍♀️🚶‍♀️,اره خوبم شکر
پیویم تار عنکبوت بست زیدوم سین نکرد,این چیه
هرکی راه بره چونیه,😂😂😂
🚶‍♀️🚶‍♀️,هعییییی رد دادم دیگ
‌‌‌\n‏-آرزوت چیه؟\n+هیچ وقت نداشتنش برام حسرت نشه..!!\n‌‌‌,😂😂😂😂😂😂😂😂
من ۲۷ سال تنها بودم,ای جان
یکی ک معرفت دشته بشه🚶🏻‍♂️,خوشچتم
🚶🚶🚶🚶,خوش
🤥\n👕\n👖,کوجولو یی
سلام,مع اصن سینگلیو ندوس تنهایی بدح 😂😂😂😂😂😂😂😜
🍏🍎                   \n🗑                          \n⚱                 👱‍♂💨       \n⚱          🎷  👔       \n⚱     ‌🎷       👖      \n⚱🎷           👟👟  \n🛎,مگ چن سالته کلا
🚬🚶🏻‍♂️,میرم 19 چن ماه دیگ تو چندی مگه مامان بزرگ 😂❤️
سما نگفتی چکار بودی,نکش
🚶🏿‍♂🚶🏿‍♂🚶🏿‍♂,❤️
اوووف بچه محلمون داره واردگپ  میشه  .😂😂,۲۷سالته۲۷سال تنها بودی
خخ,حال خرابه \nباز همدمه
🙁🙁🙁,😢
نیومده شاخ شده,😳😳😳
🚬🚬🚬🚶🏻‍♂️,نه🤦‍♀
😐😐😐,اخه دوسیب کشی؟
هووووف,شاخ به بیکارا میگن؟!!
برم کافه کی میاد ؟ 😂🐽,😂😂😂😂الکی نمیگم هواتو دارم
هعیییی,منم قلیون رو میگم دیگ دوست داشتی یا داری؟
یکی ک برم بیرون چیه همونم ندرم🚶🏻‍♂️,هیچ کدام
پری نیس چرا ؟,ترک‌کردی پس😅🖐
خنده ی مصنوعی وسط دردای واقعی,ن
پری کو,😂
در پنجرباز هم تو گپ داریم؟؟؟؟,😂
😐😐,😂😂
🚶‍♂,اره😂😂😂
😐☹️☹️,ریپ نزن رو من ک...
🚶🚶🚶🖤,ن
🚬🚶🏻‍♂️,بم قبره
🧑🏾‍🦯🐕,خودتو جم و جور کن روالح
خا,تو دهنت
امدم,💦‌
میاد,کلید در خانتان بده قلیون بکشم جا ندروم قلیون بکشوم تو مدوم بکشی 😂
سلام مشهدی های .........,ما بی خانمانیم😂
سلام,سلام موش موشی
خوبین,درد
بخوابین 👍👍😁,من کجام موش موشیم
🚶🏿‍♂🚶🏿‍♂🚶🏿‍♂,خوابه
۱۸:۱۸,پشت کوه\nبیا تا بریم👀😈
عشق درده,بدو که دیر شد
خیلی هارو خول کرده,شکرر
میتونی کص نگی,ریپ نزن
میتونی زر نزنی,سلامتی هستم همینجا
گوه نخور,😂
استغفرالله,نمیایی همینه😌😌😂😂
زیدوم عکس نمده🥺,همونو میگی ک شکلع تاج خروسه؟
😐😐😐,خب اینش دیگ به تو ربط نداره
خوبین سوسولا,حا بخدا
☹️☹️☹️,نه بابا
چثد,نلیس جانما
سلام,مگم نداریم مگی راه میدی
اه,باشه تو گفتی مو باور کردم کم بخور حافظت ضعیف شده
🚶🚶🚶🖤,هنوز که بابا نشدم تو بیا باباهم میشم
🚬🚶🏻‍♂️,🤫🤫ساکت
پسر هستم یکی بیاد,برعکس اینروزا بدجور عطش دارم🔨🙁
لیسوک امده برع ما ادم رفته🙁🚶🚶,خا
ی عشقم ندریم بریم کافه ها😫😫,چی هس
"➖🍇⃤-- Love all , trust a few , do wrong to none .\n    \n    همه رو دوست داشته باش ، به تعداد کمی اعتماد کن ، در حق هیچکس بدی نکن . ♥️",هوم
طراحی سیاه قلم چهره و .... 🏞   انجام تایپ ⌨️انجام پاورپوینت ⌨️ انجام پروژه روانشناسی و علوم تربیتی,افرین دخترکم
موو اووومدمممم😂😂😂,خوش امدی
حال بهم زن اومد😪🚶🚶🚶,مرسیوح
گوه خور نگاییدمممم,😂😂😂
س مثل سعید🖤🚶🚶🚶,خا
توره نمخورم زشت😌😌,😱
ادب خرجی ندارد ولی همه چیزرا میحرد..,ایول شارژ گریفتی😂
دعوا نکن,دمت داغ
🧑🏾‍🦯🐕,😂😂😂😂
خنده های مصنوعی وسطدردای واقعی..,تو هم احساس کن گنده ای خوبه؟؟؟؟؟
‏خدا کنه سال 1400 احمدی نژاد دوباره رئیس جمهور شه\n\n\n\n\n\n\n\n\nوضعمون که بهتر نمیشه حداقل چندتا گیف و استیکر جدید بسازیم اونایی که داریم تکراری شدن😂😂\n\n\n🍒😜,خم کن تا جاره
🚬🚶🏻‍♂️🚶🏻‍♂️,😂😂😂😂😂😂😂
🤔,😂😂😂ولی هنو دلخوره
🚶‍♂,تو حداقل داشتی وازم مری باهمونا مو چی😫😫😫
سلام به همه,نمیگم
ناموصن حوصلتو ندارم,باش لازم داری بگیرما
😐,برو برو اوضاع خرابه😂
🚶‍♂,نه شاه جان
سلام لانتوریا,😁
گایدن خودتاره همش دعوا مکنین,خلاصه تعارف پیش ما ممنوع
😂,کی بوده
وخزن یره,جوجو😜
ب یک فاطمه در راه علی ایستاده مثل یک کوه نیازمندیم😑🧑🏾‍🦯,خا😒
🍏🍎                   \n🗑                          \n⚱                 👱‍♂💨       \n⚱          🎷  👔       \n⚱     ‌🎷       👖      \n⚱🎷           👟👟  \n🛎,اره😐
🤔,هه
🚬🚶🏻‍♂️,قشنگ حرف بزن حداقل
🥂🚶‍♂,ن وابمانه 😔
سلام. عصر بخیر\n\n\n\n🤪🤪🤪🤪🤪🤪,درس خون جون😂
مردیم از خوشی از دروغ,جمعه بازار کتاب دیروز کلی کتاب تست داشت من یکی گرفتم.\nهرکی دوست داره بیاد باهم خونه تستش کنیم🙄😜😜😂
🚶‍♀🚶‍♀,چند😂
سلام,😂😂😂😂😂
رل سکس پک دارپی,این جوووون \nجوووووووون\nاز یک طرف راه و همش از پشت سره\nباز از راه برگشت میشه میشه\nجوووووون\nجووووون\nجووووووون\nبهش نمیخورد \nجووووون😂
پایه کافه پی😐,خوبی
ی زیدم ندریم عکس بده روحیم خوب شه😔😔😔,مست مست
"هیچ حسی بهتر از دیدن پیام کسی که دلتنگشی رو صفحه موبایلت نیست...\n    \n    \n    براتون پیام \""بیداری؟\"" از اونی که منتظرشین آرزو میکنم.",واز عاشق رفتی
🚬🚶🏻‍♂️,شکرر
چهارتا زید کون تپل بیه پیوی,اوهوم👍
هعععی ..کار مارو نگا ب کجا کشیده🚶‍♂🚶‍♂🚶‍♂,ها
امیر تقسیم کن دو به دو😐,مال تو وا مال مو ....😂😂😂😂😂
🚶‍♀🚶‍♀,😂😂😂😂😂
رل از قرقی پی,کو نمیبینوم
شاید دلدرتت واسه موضوع دیگه ایه خب🤔😂😂😂🤪,ها
دیگه,اوهوم👍
بیاین غیبت کنیم,باش
میدونستین تایلند یه ملکه داشته که جلوی چشم همه غرق شده و هیچکس کمکش نکرده چون دست زدن به ملکه ممنوع بوده؟ خلاصه خیلی هم غیر قابل دسترس نباشین,ته کال مالا😑
نازی,🥀
ی عدد رل ۲۰۰ کیلو پی\n🚶🚶🚶🖤,۲۲ ارزو
🚶‍♀🚶‍♀🚶‍♀🚶‍♀🚶‍♀🚶‍♀🚶‍♀🚶‍♀,مو ندروم همو بدشم ندروم😂
🚶🚶🚶🚶,چی؟
مگه نمیزنی,باش کجاشی
دوستان عزیز اگه شوخی یا مطلب بدی گذاشتم منو ببخشین \n\n\nچت خوش و روزگار بکام خدا حافظ همگیتون😘❤️❤️,مشهد
س مثل سعید🖤🚶🚶🚶,مخی بیاری
⠀             (  •_•  )\n|￣￣ᵒᵒᵒ￣￣￣￣￣￣|\n                ZEYD\n             MIKHAMㅤㅤ \n|_______________ₒₒₒ___| \n                |    |   |\n                |__|__|\n               (__][__),ی بار زیدم با رفیقش امدن پیشم رفیقش ۱۶ سالش بود س چهارتا زید داش دختره بهش گفتم اینقدر میدی خسته نمیشی بهم گفت تو ۱۶ سالت بود از جق زدن سیر میشدی ک من الان بشم تا یک ماه طرف گوشیم نیامدم😂😂😂😂😂
🚶🚶🚶🚶,۲۷
🚶‍♀🚶‍♀,بهارم😑😑😑
🚬🚶🏻‍♂️,نداریم
بهارم نشدم یکی ریپ بزنه رومو خوشحال بشم\n🚶🚶🚶🖤,جون بیا برم او پشت😜
🚶🚶🚶🖤,بلع بلع🤦‍♀
هوووووف,والا بپرس
‏خودت به خودت بگی به تو چه!\nبهتر از اینه بقیه بهت بگن، به تو چه؟,سیگاری چی
سارا خاک بم سرت,نه
ا,جووون😍
هوا هوایه نوه دارن کردنه مامان باباهاس:)\n\nداوطلب لطفا😑🧑🏾‍🦯,جدی
اومدم از هند اومدم💃,اره
موسیقی خوب، مثل شمشير دو لبه هست. يا گوش ميدی، همه چی يادت ميره، يا گوش ميدی، همه چی دوباره يادت مياد …,😂مدرسه نمیرم که
🚶‍♂,😂الکی ها
🚶‍♀🚶‍♀🚶‍♀,😅
😕😕😕,فوتبال برنامه کی بودی تو😂
🚶‍♂,خوش
آخ,😂خودش روشنه
🚶‍♂,من اعتراض دارم ویدبو چک بدین لدفن😂
😐🖤🚶🏿,شل نشو گردنت مونده هنوز😂
"‌\nاگه نمیخوایش مثِ مرد بگو نمیخوامت اینکه میگی \"" میخوام ولی نمیشه \"" دیگه چه کوفتیه...\n‌‌‌‌‌‌‌‌‎‌‌‎‌‌",خخخخ نه
هووووف,باش
سلام😄,slm chtori
حوصلم سرررفته,دردم داشت داداش؟🤔😂😂
🚶‍♀,تودختری 🤦‍♀😐
من دو سال تل نبودم چقد سکسی شده😂😂😂,همش دوسال😂😂
پسرای مشهدی دستا بالا,اصل
سلام سلام,دست رو عشق من نزار
🚬🚶🏻‍♂️,کجاعه
سلام😕,سلامتی
جومونگ شروع شد من بای,عراق
😐,چ مامانی داری
🚬🚶🏻‍♂️,☺️☺️☺️
🚬🚶🏻‍♂️,😂😂😂
هیچوقت با آدمایی که دیگه باهات مثل سابق نیستن مثل سابق نباش!,لز پی🤤😂
از نظر روحی نیاز دارم برم کنسرت داریوش، بگه اون که رفته دیگه هیچ وقت نمیاد بعد میکروفون رو بگیره سمت جمعیت، در حالی که مستم با تمام وجود داد بزنم تا قیامت دل من گریه میخواد!,علیک
اگه کسی تو لحظه‌ای که باید کنارم باشه \nنبود...\nدیگه نمیخوام که هیچوقت باشه‌..✌️💔,نه
سلام,ت جیب جا میشه
هووووم,اینم هست
👀,نه
بَدبختی اینِه کِه خِیلیا شبیِه اون چیزی کِه میشناختیمِشون نِمیمونَن:),اینا پسته دریایی هستش
خوبین,خواستم ببینم چقدر اطلاعات داری
دخترا برچی از نیسان بدشا مین🤔,من ندارم
جواب پسته دریایی بود,عجب چیزای داره شمال😂👌
☺️☺️☺️☺️☺️☺️☺️☺️,👌🌺
دختری ک از نیسان بدش نیادزن زندگی هست,پسته دریایی
کجاش آب می‌ریزن,سلام
🚶‍♂😐🦅🔪,جواب رو من گفتم بالا😒😒
Slm,خاهش اصل
🚬🚶🏻‍♂️,سلام
گیره یه مش آدم دو رو افتادیم \nکه فقط جلومون نقش بازی میکنن \nواسه اینکه خودشونو خوب نشون بدن!,ن تو بهتری
شارژمیخام😭,یجایی🚶‍♀
خوبی,خودت خبی
دنیا 16,کو عشق جانت
🚶,خوبم
🚘🚘🚘,خوش
سلام,اصل بده
سعلام,مرسی تو چطوری
سلوم,شکر نیلا 16 تهران وشما
